ddinter_id,ddinter_name,hetionet_compound_id,hetionet_name,mapping_method,mapping_status
DDInter577,Dobutamine,Compound::DB00841,Dobutamine,normalized case-insensitive exact generic name,exact_name
DDInter578,Docetaxel,,,none,unmapped
DDInter579,Docusate,,,none,unmapped
DDInter58,Aluminum hydroxide,,,none,unmapped
DDInter580,Dofetilide,Compound::DB00204,Dofetilide,normalized case-insensitive exact generic name,exact_name
DDInter581,Dolasetron,,,none,unmapped
DDInter582,Dolutegravir,,,none,unmapped
DDInter583,Donepezil,Compound::DB00843,Donepezil,normalized case-insensitive exact generic name,exact_name
DDInter584,Dopamine,Compound::DB00988,Dopamine,normalized case-insensitive exact generic name,exact_name
DDInter585,Doravirine,,,none,unmapped
DDInter586,Doripenem,,,none,unmapped
DDInter587,Dornase alfa,,,none,unmapped
DDInter588,Dorzolamide (ophthalmic),,,none,unmapped
DDInter589,Dotatate,,,none,unmapped
DDInter59,Alvimopan,Compound::DB06274,Alvimopan,normalized case-insensitive exact generic name,exact_name
DDInter590,Doxacurium,,,none,unmapped
DDInter591,Doxapram,,,none,unmapped
DDInter592,Doxazosin,Compound::DB00590,Doxazosin,normalized case-insensitive exact generic name,exact_name
DDInter593,Doxepin,,,none,unmapped
DDInter594,Doxepin (topical),,,none,unmapped
DDInter595,Doxercalciferol,,,none,unmapped
DDInter596,Doxorubicin,,,none,unmapped
DDInter597,Doxorubicin (liposomal),,,none,unmapped
DDInter598,Doxycycline,,,none,unmapped
DDInter599,Doxycycline (topical),,,none,unmapped
DDInter6,Abciximab,,,none,unmapped
DDInter60,Amantadine,,,none,unmapped
DDInter600,Doxylamine,,,none,unmapped
DDInter601,Dronabinol,,,none,unmapped
DDInter602,Dronedarone,,,none,unmapped
DDInter603,Droperidol,,,none,unmapped
DDInter604,Drospirenone,Compound::DB01395,Drospirenone,normalized case-insensitive exact generic name,exact_name
DDInter605,Drotrecogin alfa,,,none,unmapped
DDInter606,Droxidopa,Compound::DB06262,Droxidopa,normalized case-insensitive exact generic name,exact_name
DDInter607,Dulaglutide,,,none,unmapped
DDInter608,Duloxetine,Compound::DB00476,Duloxetine,normalized case-insensitive exact generic name,exact_name
DDInter609,Dupilumab,,,none,unmapped
DDInter61,Ambenonium,,,none,unmapped
DDInter610,Durvalumab,,,none,unmapped
DDInter611,Dutasteride,,,none,unmapped
DDInter612,Duvelisib,,,none,unmapped
DDInter613,Dyphylline,,,none,unmapped
DDInter614,Echinacea,,,none,unmapped
DDInter615,Echothiophate (ophthalmic),,,none,unmapped
DDInter616,Econazole,,,none,unmapped
DDInter617,Econazole (topical),,,none,unmapped
DDInter618,Eculizumab,,,none,unmapped
DDInter619,Edetate calcium disodium anhydrous,,,none,unmapped
DDInter62,Ambrisentan,,,none,unmapped
DDInter620,Edetate disodium anhydrous,,,none,unmapped
DDInter621,Edoxaban,,,none,unmapped
DDInter622,Edrophonium,,,none,unmapped
DDInter623,Efalizumab,,,none,unmapped
DDInter624,Efavirenz,,,none,unmapped
DDInter625,Elagolix,,,none,unmapped
DDInter626,Elbasvir,,,none,unmapped
DDInter627,Eletriptan,,,none,unmapped
DDInter628,Elexacaftor,,,none,unmapped
DDInter629,Eliglustat,,,none,unmapped
DDInter63,Amcinonide,,,none,unmapped
DDInter630,Elotuzumab,,,none,unmapped
DDInter631,Eltrombopag,,,none,unmapped
DDInter632,Eluxadoline,,,none,unmapped
DDInter633,Elvitegravir,,,none,unmapped
DDInter634,Emapalumab,,,none,unmapped
DDInter635,Emicizumab,,,none,unmapped
DDInter636,Empagliflozin,,,none,unmapped
DDInter637,Emtricitabine,,,none,unmapped
DDInter638,Enalapril,Compound::DB00584,Enalapril,normalized case-insensitive exact generic name,exact_name
DDInter639,Enasidenib,,,none,unmapped
DDInter64,Amifampridine,,,none,unmapped
DDInter640,Encorafenib,,,none,unmapped
DDInter641,Enflurane,,,none,unmapped
DDInter642,Enfortumab vedotin,,,none,unmapped
DDInter643,Enfuvirtide,,,none,unmapped
DDInter644,Enoxacin,,,none,unmapped
DDInter645,Enoxaparin,,,none,unmapped
DDInter646,Entacapone,,,none,unmapped
DDInter647,Entecavir,,,none,unmapped
DDInter648,Entrectinib,,,none,unmapped
DDInter649,Enzalutamide,,,none,unmapped
DDInter65,Amifostine,,,none,unmapped
DDInter650,Ephedrine,,,none,unmapped
DDInter651,Ephedrine (nasal),,,none,unmapped
DDInter652,Epinephrine,Compound::DB00668,Epinephrine,normalized case-insensitive exact generic name,exact_name
DDInter653,Epinephrine (ophthalmic),,,none,unmapped
DDInter654,Epinephrine (topical),,,none,unmapped
DDInter655,Epirubicin,,,none,unmapped
DDInter656,Eplerenone,Compound::DB00700,Eplerenone,normalized case-insensitive exact generic name,exact_name
DDInter657,Epoprostenol,,,none,unmapped
DDInter658,Eprosartan,Compound::DB00876,Eprosartan,normalized case-insensitive exact generic name,exact_name
DDInter659,Eptifibatide,,,none,unmapped
DDInter66,Amikacin,Compound::DB00479,Amikacin,normalized case-insensitive exact generic name,exact_name
DDInter660,Eravacycline,,,none,unmapped
DDInter661,Erdafitinib,,,none,unmapped
DDInter662,Ergocalciferol,,,none,unmapped
DDInter663,Ergoloid mesylate,Compound::DB01049,Ergoloid mesylate,normalized case-insensitive exact generic name,exact_name
DDInter664,Ergometrine,,,none,unmapped
DDInter665,Ergotamine,Compound::DB00696,Ergotamine,normalized case-insensitive exact generic name,exact_name
DDInter666,Eribulin,,,none,unmapped
DDInter667,Erlotinib,,,none,unmapped
DDInter668,Ertapenem,,,none,unmapped
DDInter669,Ertugliflozin,,,none,unmapped
DDInter67,Amikacin (liposome),,,none,unmapped
DDInter670,Erythromycin,,,none,unmapped
DDInter671,Erythropoietin,,,none,unmapped
DDInter672,Escitalopram,,,none,unmapped
DDInter673,Esketamine,,,none,unmapped
DDInter674,Eslicarbazepine,,,none,unmapped
DDInter675,Esmolol,Compound::DB00187,Esmolol,normalized case-insensitive exact generic name,exact_name
DDInter676,Esomeprazole,,,none,unmapped
DDInter677,Estazolam,,,none,unmapped
DDInter678,Esterified estrogens,,,none,unmapped
DDInter679,Estradiol,,,none,unmapped
DDInter68,Amiloride,Compound::DB00594,Amiloride,normalized case-insensitive exact generic name,exact_name
DDInter680,Estradiol (topical),,,none,unmapped
DDInter681,Estramustine,,,none,unmapped
DDInter682,Estrone,,,none,unmapped
DDInter683,Estrone sulfate,,,none,unmapped
DDInter684,Estrone sulfate (topical),,,none,unmapped
DDInter685,Eszopiclone,,,none,unmapped
DDInter686,Etacrynic acid,,,none,unmapped
DDInter687,Etanercept,,,none,unmapped
DDInter688,Etelcalcetide,,,none,unmapped
DDInter689,Ethambutol,,,none,unmapped
DDInter69,Aminobenzoic acid,,,none,unmapped
DDInter690,Ethanol,,,none,unmapped
DDInter691,Ethchlorvynol,,,none,unmapped
DDInter692,Ethinylestradiol,,,none,unmapped
DDInter693,Ethiodized oil,,,none,unmapped
DDInter694,Ethionamide,,,none,unmapped
DDInter695,Ethosuximide,,,none,unmapped
DDInter696,Ethotoin,,,none,unmapped
DDInter697,Etidocaine,,,none,unmapped
DDInter698,Etidronic acid,,,none,unmapped
DDInter699,Etodolac,,,none,unmapped
DDInter7,Abemaciclib,,,none,unmapped
DDInter70,Aminocaproic acid,,,none,unmapped
DDInter700,Etomidate,,,none,unmapped
DDInter701,Etonogestrel,,,none,unmapped
DDInter702,Etoposide,,,none,unmapped
DDInter703,Etravirine,,,none,unmapped
DDInter704,Everolimus,,,none,unmapped
DDInter705,Exemestane,,,none,unmapped
DDInter706,Exenatide,,,none,unmapped
DDInter707,Ezetimibe,Compound::DB00973,Ezetimibe,normalized case-insensitive exact generic name,exact_name
DDInter708,Ezogabine,,,none,unmapped
DDInter709,Factor IX Complex (Human),,,none,unmapped
DDInter71,Aminoglutethimide,,,none,unmapped
DDInter710,Factor XIII (human),,,none,unmapped
DDInter711,Famciclovir,,,none,unmapped
DDInter712,Famotidine,,,none,unmapped
DDInter713,Febuxostat,,,none,unmapped
DDInter714,Fedratinib,,,none,unmapped
DDInter715,Felbamate,,,none,unmapped
DDInter716,Felodipine,Compound::DB01023,Felodipine,normalized case-insensitive exact generic name,exact_name
DDInter717,Fenfluramine,,,none,unmapped
DDInter718,Fenofibrate,Compound::DB01039,Fenofibrate,normalized case-insensitive exact generic name,exact_name
DDInter719,Fenofibric acid,,,none,unmapped
DDInter72,Aminolevulinic acid,,,none,unmapped
